carn	corpch
0	0
0.210526316	0
-0.210526316	0
0	0
0	-0.192982456
0	0.192982456
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.210526316	0
-0.210526316	0
0	0
0	0.140350877
0	-0.140350877
0	0
0	0
0	0
0	0
0	0
0	0
0	0
-0.789473684	0
0.789473684	0
0	0
0	-0.192982456
0	0.192982456
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.210526316	0
-0.210526316	0
0	0
0	-0.192982456
0	0.192982456
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.210526316	0
-0.210526316	0
0	0
0	0.807017544
0	-0.807017544
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.210526316	0
-0.210526316	0
0	0
0	-0.192982456
0	0.192982456
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.210526316	0
-0.210526316	0
0	0
0	-0.192982456
0	0.192982456
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.210526316	0
-0.210526316	0
0	0
0	0.807017544
0	-0.807017544
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.210526316	0
-0.210526316	0
0	0
0	-0.192982456
0	0.192982456
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.210526316	0
-0.210526316	0
0	0
0	-0.192982456
0	0.192982456
0	0
0	0
0	0
0	0
0	0
0	0
0	0
-0.789473684	0
0.789473684	0
0	0
0	-0.192982456
0	0.192982456
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.210526316	0
-0.210526316	0
0	0
0	-0.192982456
0	0.192982456
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.210526316	0
-0.210526316	0
0	0
0	0.140350877
0	-0.140350877
0	0
0	0
0	0
0	0
0	0
0	0
0	0
-0.789473684	0
0.789473684	0
0	0
0	-0.192982456
0	0.192982456
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.210526316	0
-0.210526316	0
0	0
0	-0.192982456
0	0.192982456
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.210526316	0
-0.210526316	0
0	0
0	0.807017544
0	-0.807017544
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.210526316	0
-0.210526316	0
0	0
0	-0.192982456
0	0.192982456
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0.210526316	0
-0.210526316	0
0	0
0	-0.192982456
0	0.192982456
0	0
0	0
0	0
0	0
0	0
0	0
0	0
-0.789473684	0
0.789473684	0
0	0
0	-0.192982456
0	0.192982456
0	0
0	0
0	0
0	0
0	0
0	0
